"relative_path","category","filename","extension","bytes","usage_status","provenance_status"
"images/01-png-transparents/084-viessmann.png","01-png-transparents","084-viessmann.png","png","22729","unknown","not_recorded"
"images/01-png-transparents/089-kinghome.png","01-png-transparents","089-kinghome.png","png","135847","unknown","not_recorded"
"images/01-png-transparents/091-thermal-zone.png","01-png-transparents","091-thermal-zone.png","png","105630","unknown","not_recorded"
"images/01-png-transparents/092-kerr.png","01-png-transparents","092-kerr.png","png","71400","unknown","not_recorded"
"images/01-png-transparents/093-samsung.png","01-png-transparents","093-samsung.png","png","37323","unknown","not_recorded"
"images/01-png-transparents/094-sinclair-air-conditioning.png","01-png-transparents","094-sinclair-air-conditioning.png","png","69799","unknown","not_recorded"
"images/01-png-transparents/096-kaden.png","01-png-transparents","096-kaden.png","png","39623","unknown","not_recorded"
"images/01-png-transparents/097-comfort-aire.png","01-png-transparents","097-comfort-aire.png","png","253559","unknown","not_recorded"
"images/01-png-transparents/106-senville.png","01-png-transparents","106-senville.png","png","207763","unknown","not_recorded"
"images/01-png-transparents/111-boreal.png","01-png-transparents","111-boreal.png","png","70340","unknown","not_recorded"
"images/01-png-transparents/114-napoleon.png","01-png-transparents","114-napoleon.png","png","51613","unknown","not_recorded"
"images/01-png-transparents/115-hitachi.png","01-png-transparents","115-hitachi.png","png","14103","unknown","not_recorded"
"images/01-png-transparents/116-pioneer.png","01-png-transparents","116-pioneer.png","png","73764","unknown","not_recorded"
"images/01-png-transparents/117-stelpro.png","01-png-transparents","117-stelpro.png","png","33119","unknown","not_recorded"
"images/01-png-transparents/120-aux.png","01-png-transparents","120-aux.png","png","64828","unknown","not_recorded"
"images/01-png-transparents/122-della.png","01-png-transparents","122-della.png","png","16301","unknown","not_recorded"
"images/01-png-transparents/123-emi.png","01-png-transparents","123-emi.png","png","40719","unknown","not_recorded"
"images/01-png-transparents/124-continental.png","01-png-transparents","124-continental.png","png","59515","unknown","not_recorded"
"images/01-png-transparents/134-ouellet.png","01-png-transparents","134-ouellet.png","png","503811","unknown","not_recorded"
"images/01-png-transparents/137-toshiba-carrier.png","01-png-transparents","137-toshiba-carrier.png","png","63187","unknown","not_recorded"
"images/01-png-transparents/143-forestair.png","01-png-transparents","143-forestair.png","png","39065","unknown","not_recorded"
"images/01-png-transparents/144-rovsun.png","01-png-transparents","144-rovsun.png","png","95905","unknown","not_recorded"
"images/01-png-transparents/151-quebecvair.png","01-png-transparents","151-quebecvair.png","png","32004","unknown","not_recorded"
"images/01-png-transparents/155-mirage.png","01-png-transparents","155-mirage.png","png","265437","unknown","not_recorded"
"images/01-png-transparents/157-turbro.png","01-png-transparents","157-turbro.png","png","57761","unknown","not_recorded"
"images/01-png-transparents/162-voltas.png","01-png-transparents","162-voltas.png","png","38632","unknown","not_recorded"
"images/01-png-transparents/164-sharp.png","01-png-transparents","164-sharp.png","png","66973","unknown","not_recorded"
"images/01-png-transparents/175-hessaire.png","01-png-transparents","175-hessaire.png","png","29049","unknown","not_recorded"
"images/01-png-transparents/177-perfect-aire.png","01-png-transparents","177-perfect-aire.png","png","67136","unknown","not_recorded"
"images/01-png-transparents/181-ortech.png","01-png-transparents","181-ortech.png","png","46681","unknown","not_recorded"
"images/01-png-transparents/185-denali-aire.png","01-png-transparents","185-denali-aire.png","png","21254","unknown","not_recorded"
"images/01-png-transparents/190-costway.png","01-png-transparents","190-costway.png","png","155979","unknown","not_recorded"
"images/01-png-transparents/198-outes.png","01-png-transparents","198-outes.png","png","20960","unknown","not_recorded"
"images/01-png-transparents/212-homcom.png","01-png-transparents","212-homcom.png","png","364304","unknown","not_recorded"
"images/01-png-transparents/233-quilt.png","01-png-transparents","233-quilt.png","png","32959","unknown","not_recorded"
"images/01-png-transparents/251-toyotomi.png","01-png-transparents","251-toyotomi.png","png","36043","unknown","not_recorded"
"images/1HVAC.jpg","root","1HVAC.jpg","jpg","38371","unknown","not_recorded"
"images/HEADERLOGO.png","root","HEADERLOGO.png","png","354424","unknown","not_recorded"
"images/Thermoscan.png","root","Thermoscan.png","png","426367","unknown","not_recorded"
"images/about-cta-product.jpg","root","about-cta-product.jpg","jpg","1050456","unknown","not_recorded"
"images/about-experience-house.jpg","root","about-experience-house.jpg","jpg","1003027","unknown","not_recorded"
"images/about-hero.jpg","root","about-hero.jpg","jpg","997458","unknown","not_recorded"
"images/about-process.jpg","root","about-process.jpg","jpg","916580","unknown","not_recorded"
"images/carriere-hero.jpg","root","carriere-hero.jpg","jpg","880625","unknown","not_recorded"
"images/categorie-centrale-samsung-hd.png","root","categorie-centrale-samsung-hd.png","png","2201312","unknown","not_recorded"
"images/categorie-multizone-mitsubishi-electric-hd.png","root","categorie-multizone-mitsubishi-electric-hd.png","png","2234608","unknown","not_recorded"
"images/categorie-murale-daikin-hd.png","root","categorie-murale-daikin-hd.png","png","1452511","unknown","not_recorded"
"images/compare_hero.jpg","root","compare_hero.jpg","jpg","705969","unknown","not_recorded"
"images/contact-support.jpg","root","contact-support.jpg","jpg","703709","unknown","not_recorded"
"images/cta-bg-home.jpg","root","cta-bg-home.jpg","jpg","908006","unknown","not_recorded"
"images/gree-extreme-miniature.png","root","gree-extreme-miniature.png","png","120622","unknown","not_recorded"
"images/guides/card-interior-living-room.jpg","guides","card-interior-living-room.jpg","jpg","816501","unknown","not_recorded"
"images/guides/card-outdoor-unit.jpg","guides","card-outdoor-unit.jpg","jpg","881663","unknown","not_recorded"
"images/guides/guide-hero-bg.jpg","guides","guide-hero-bg.jpg","jpg","1050624","unknown","not_recorded"
"images/hero-a-propos-maison-hiver.png","root","hero-a-propos-maison-hiver.png","png","2156116","unknown","not_recorded"
"images/hero-calculator-bg.jpg","root","hero-calculator-bg.jpg","jpg","888564","unknown","not_recorded"
"images/hero_heatpump.jpg","root","hero_heatpump.jpg","jpg","814086","unknown","not_recorded"
"images/herocomparer.png","root","herocomparer.png","png","1545724","unknown","not_recorded"
"images/hydroquebec.png","root","hydroquebec.png","png","8303","unknown","not_recorded"
"images/installateur-premium.jpg","root","installateur-premium.jpg","jpg","852898","unknown","not_recorded"
"images/logo/logo-full.png","logo","logo-full.png","png","654697","unknown","not_recorded"
"images/logo/logo-nav.png","logo","logo-nav.png","png","86930","unknown","not_recorded"
"images/logo-test.png","root","logo-test.png","png","136376","unknown","not_recorded"
"images/logo-thermomatch-tm.png","root","logo-thermomatch-tm.png","png","206386","unknown","not_recorded"
"images/marques/logo-aciq-bleu-nuit.png","marques","logo-aciq-bleu-nuit.png","png","26737","unknown","not_recorded"
"images/marques/logo-airease-bleu-nuit.png","marques","logo-airease-bleu-nuit.png","png","96533","unknown","not_recorded"
"images/marques/logo-airquest-bleu-nuit.png","marques","logo-airquest-bleu-nuit.png","png","58749","unknown","not_recorded"
"images/marques/logo-allied-bleu-nuit.png","marques","logo-allied-bleu-nuit.png","png","29617","unknown","not_recorded"
"images/marques/logo-amana-bleu-nuit.png","marques","logo-amana-bleu-nuit.png","png","40243","unknown","not_recorded"
"images/marques/logo-american-standard-bleu-nuit.png","marques","logo-american-standard-bleu-nuit.png","png","30394","unknown","not_recorded"
"images/marques/logo-ameristar-bleu-nuit.png","marques","logo-ameristar-bleu-nuit.png","png","109377","unknown","not_recorded"
"images/marques/logo-arcoaire-bleu-nuit.png","marques","logo-arcoaire-bleu-nuit.png","png","58639","unknown","not_recorded"
"images/marques/logo-armstrong-air-bleu-nuit.png","marques","logo-armstrong-air-bleu-nuit.png","png","56291","unknown","not_recorded"
"images/marques/logo-aux-bleu-nuit.png","marques","logo-aux-bleu-nuit.png","png","64828","unknown","not_recorded"
"images/marques/logo-boreal-bleu-nuit.png","marques","logo-boreal-bleu-nuit.png","png","70340","unknown","not_recorded"
"images/marques/logo-bosch-bleu-nuit.png","marques","logo-bosch-bleu-nuit.png","png","34178","unknown","not_recorded"
"images/marques/logo-champion-heating-and-cooling-bleu-nuit.png","marques","logo-champion-heating-and-cooling-bleu-nuit.png","png","41513","unknown","not_recorded"
"images/marques/logo-coleman-bleu-nuit.png","marques","logo-coleman-bleu-nuit.png","png","243149","unknown","not_recorded"
"images/marques/logo-comfort-aire-bleu-nuit.png","marques","logo-comfort-aire-bleu-nuit.png","png","253559","unknown","not_recorded"
"images/marques/logo-comfortmaker-bleu-nuit.png","marques","logo-comfortmaker-bleu-nuit.png","png","49501","unknown","not_recorded"
"images/marques/logo-concord-bleu-nuit.png","marques","logo-concord-bleu-nuit.png","png","108942","unknown","not_recorded"
"images/marques/logo-continental-bleu-nuit.png","marques","logo-continental-bleu-nuit.png","png","59515","unknown","not_recorded"
"images/marques/logo-cooper-and-hunter-bleu-nuit.png","marques","logo-cooper-and-hunter-bleu-nuit.png","png","97865","unknown","not_recorded"
"images/marques/logo-costway-bleu-nuit.png","marques","logo-costway-bleu-nuit.png","png","155979","unknown","not_recorded"
"images/marques/logo-daikin-bleu-nuit-cropped.png","marques","logo-daikin-bleu-nuit-cropped.png","png","36639","unknown","not_recorded"
"images/marques/logo-daikin-bleu-nuit.png","marques","logo-daikin-bleu-nuit.png","png","33661","unknown","not_recorded"
"images/marques/logo-day-and-night-bleu-nuit.png","marques","logo-day-and-night-bleu-nuit.png","png","184444","unknown","not_recorded"
"images/marques/logo-della-bleu-nuit.png","marques","logo-della-bleu-nuit.png","png","16301","unknown","not_recorded"
"images/marques/logo-denali-aire-bleu-nuit.png","marques","logo-denali-aire-bleu-nuit.png","png","21254","unknown","not_recorded"
"images/marques/logo-direct-air-bleu-nuit.png","marques","logo-direct-air-bleu-nuit.png","png","235551","unknown","not_recorded"
"images/marques/logo-directair-bleu-nuit.png","marques","logo-directair-bleu-nuit.png","png","235551","unknown","not_recorded"
"images/marques/logo-ducane-bleu-nuit.png","marques","logo-ducane-bleu-nuit.png","png","174434","unknown","not_recorded"
"images/marques/logo-durastar-bleu-nuit.png","marques","logo-durastar-bleu-nuit.png","png","42992","unknown","not_recorded"
"images/marques/logo-ecoer-bleu-nuit.png","marques","logo-ecoer-bleu-nuit.png","png","104053","unknown","not_recorded"
"images/marques/logo-emi-bleu-nuit.png","marques","logo-emi-bleu-nuit.png","png","40719","unknown","not_recorded"
"images/marques/logo-evcon-bleu-nuit.png","marques","logo-evcon-bleu-nuit.png","png","55601","unknown","not_recorded"
"images/marques/logo-forestair-bleu-nuit.png","marques","logo-forestair-bleu-nuit.png","png","39065","unknown","not_recorded"
"images/marques/logo-fraser-johnston-bleu-nuit.png","marques","logo-fraser-johnston-bleu-nuit.png","png","110918","unknown","not_recorded"
"images/marques/logo-friedrich-bleu-nuit.png","marques","logo-friedrich-bleu-nuit.png","png","62422","unknown","not_recorded"
"images/marques/logo-fujitsu-bleu-nuit-cropped.png","marques","logo-fujitsu-bleu-nuit-cropped.png","png","14438","unknown","not_recorded"
"images/marques/logo-fujitsu-bleu-nuit.png","marques","logo-fujitsu-bleu-nuit.png","png","37981","unknown","not_recorded"
"images/marques/logo-ge-appliances-bleu-nuit.png","marques","logo-ge-appliances-bleu-nuit.png","png","65683","unknown","not_recorded"
"images/marques/logo-ge-bleu-nuit.png","marques","logo-ge-bleu-nuit.png","png","138673","unknown","not_recorded"
"images/marques/logo-goodman-bleu-nuit.png","marques","logo-goodman-bleu-nuit.png","png","107802","unknown","not_recorded"
"images/marques/logo-grandaire-bleu-nuit.png","marques","logo-grandaire-bleu-nuit.png","png","129382","unknown","not_recorded"
"images/marques/logo-gree-bleu-nuit-cropped.png","marques","logo-gree-bleu-nuit-cropped.png","png","54906","unknown","not_recorded"
"images/marques/logo-gree-bleu-nuit.png","marques","logo-gree-bleu-nuit.png","png","77104","unknown","not_recorded"
"images/marques/logo-guardian-bleu-nuit.png","marques","logo-guardian-bleu-nuit.png","png","104408","unknown","not_recorded"
"images/marques/logo-haier-bleu-nuit.png","marques","logo-haier-bleu-nuit.png","png","28125","unknown","not_recorded"
"images/marques/logo-heil-bleu-nuit.png","marques","logo-heil-bleu-nuit.png","png","97501","unknown","not_recorded"
"images/marques/logo-hessaire-bleu-nuit.png","marques","logo-hessaire-bleu-nuit.png","png","29049","unknown","not_recorded"
"images/marques/logo-hisense-bleu-nuit.png","marques","logo-hisense-bleu-nuit.png","png","36429","unknown","not_recorded"
"images/marques/logo-hitachi-bleu-nuit.png","marques","logo-hitachi-bleu-nuit.png","png","14103","unknown","not_recorded"
"images/marques/logo-homcom-bleu-nuit.png","marques","logo-homcom-bleu-nuit.png","png","364304","unknown","not_recorded"
"images/marques/logo-innovair-bleu-nuit.png","marques","logo-innovair-bleu-nuit.png","png","39988","unknown","not_recorded"
"images/marques/logo-johnson-controls-bleu-nuit.png","marques","logo-johnson-controls-bleu-nuit.png","png","88285","unknown","not_recorded"
"images/marques/logo-kaden-bleu-nuit.png","marques","logo-kaden-bleu-nuit.png","png","39623","unknown","not_recorded"
"images/marques/logo-keeprite-bleu-nuit.png","marques","logo-keeprite-bleu-nuit.png","png","111812","unknown","not_recorded"
"images/marques/logo-kenmore-bleu-nuit.png","marques","logo-kenmore-bleu-nuit.png","png","20604","unknown","not_recorded"
"images/marques/logo-kerr-bleu-nuit.png","marques","logo-kerr-bleu-nuit.png","png","71400","unknown","not_recorded"
"images/marques/logo-kinghome-bleu-nuit.png","marques","logo-kinghome-bleu-nuit.png","png","135847","unknown","not_recorded"
"images/marques/logo-lennox-bleu-nuit.png","marques","logo-lennox-bleu-nuit.png","png","58534","unknown","not_recorded"
"images/marques/logo-lg-bleu-nuit-cropped.png","marques","logo-lg-bleu-nuit-cropped.png","png","38171","unknown","not_recorded"
"images/marques/logo-lg-bleu-nuit.png","marques","logo-lg-bleu-nuit.png","png","124501","unknown","not_recorded"
"images/marques/logo-lg-light-cropped.png","marques","logo-lg-light-cropped.png","png","41777","unknown","not_recorded"
"images/marques/logo-lg-light.png","marques","logo-lg-light.png","png","121172","unknown","not_recorded"
"images/marques/logo-luxaire-bleu-nuit.png","marques","logo-luxaire-bleu-nuit.png","png","145189","unknown","not_recorded"
"images/marques/logo-mainline-bleu-nuit.png","marques","logo-mainline-bleu-nuit.png","png","319749","unknown","not_recorded"
"images/marques/logo-mdv-bleu-nuit.png","marques","logo-mdv-bleu-nuit.png","png","140356","unknown","not_recorded"
"images/marques/logo-midea-bleu-nuit-cropped.png","marques","logo-midea-bleu-nuit-cropped.png","png","46558","unknown","not_recorded"
"images/marques/logo-midea-bleu-nuit.png","marques","logo-midea-bleu-nuit.png","png","202847","unknown","not_recorded"
"images/marques/logo-mirage-bleu-nuit.png","marques","logo-mirage-bleu-nuit.png","png","265437","unknown","not_recorded"
"images/marques/logo-mitsubishi-bleu-nuit.png","marques","logo-mitsubishi-bleu-nuit.png","png","65002","unknown","not_recorded"
"images/marques/logo-mitsubishi-electric-bleu-nuit-cropped.png","marques","logo-mitsubishi-electric-bleu-nuit-cropped.png","png","28775","unknown","not_recorded"
"images/marques/logo-mitsubishi-electric-bleu-nuit.png","marques","logo-mitsubishi-electric-bleu-nuit.png","png","65002","unknown","not_recorded"
"images/marques/logo-moovair-bleu-nuit-cropped.png","marques","logo-moovair-bleu-nuit-cropped.png","png","31258","unknown","not_recorded"
"images/marques/logo-moovair-bleu-nuit.png","marques","logo-moovair-bleu-nuit.png","png","24880","unknown","not_recorded"
"images/marques/logo-moovair-light-cropped.png","marques","logo-moovair-light-cropped.png","png","39762","unknown","not_recorded"
"images/marques/logo-moovair-light.png","marques","logo-moovair-light.png","png","25409","unknown","not_recorded"
"images/marques/logo-mrcool-bleu-nuit.png","marques","logo-mrcool-bleu-nuit.png","png","46419","unknown","not_recorded"
"images/marques/logo-napoleon-bleu-nuit.png","marques","logo-napoleon-bleu-nuit.png","png","51613","unknown","not_recorded"
"images/marques/logo-ortech-bleu-nuit.png","marques","logo-ortech-bleu-nuit.png","png","46681","unknown","not_recorded"
"images/marques/logo-ouellet-bleu-nuit.png","marques","logo-ouellet-bleu-nuit.png","png","503811","unknown","not_recorded"
"images/marques/logo-outes-bleu-nuit.png","marques","logo-outes-bleu-nuit.png","png","20960","unknown","not_recorded"
"images/marques/logo-payne-heating-and-cooling-bleu-nuit.png","marques","logo-payne-heating-and-cooling-bleu-nuit.png","png","106707","unknown","not_recorded"
"images/marques/logo-perfect-aire-bleu-nuit.png","marques","logo-perfect-aire-bleu-nuit.png","png","67136","unknown","not_recorded"
"images/marques/logo-pioneer-bleu-nuit.png","marques","logo-pioneer-bleu-nuit.png","png","73764","unknown","not_recorded"
"images/marques/logo-quebecvair-bleu-nuit.png","marques","logo-quebecvair-bleu-nuit.png","png","32004","unknown","not_recorded"
"images/marques/logo-quilt-bleu-nuit.png","marques","logo-quilt-bleu-nuit.png","png","32959","unknown","not_recorded"
"images/marques/logo-rheem-bleu-nuit.png","marques","logo-rheem-bleu-nuit.png","png","175085","unknown","not_recorded"
"images/marques/logo-rovsun-bleu-nuit.png","marques","logo-rovsun-bleu-nuit.png","png","95905","unknown","not_recorded"
"images/marques/logo-runtru-bleu-nuit.png","marques","logo-runtru-bleu-nuit.png","png","80352","unknown","not_recorded"
"images/marques/logo-russell-bleu-nuit.png","marques","logo-russell-bleu-nuit.png","png","72389","unknown","not_recorded"
"images/marques/logo-ruud-bleu-nuit.png","marques","logo-ruud-bleu-nuit.png","png","444426","unknown","not_recorded"
"images/marques/logo-samsung-bleu-nuit-cropped.png","marques","logo-samsung-bleu-nuit-cropped.png","png","65582","unknown","not_recorded"
"images/marques/logo-samsung-bleu-nuit.png","marques","logo-samsung-bleu-nuit.png","png","37323","unknown","not_recorded"
"images/marques/logo-senville-bleu-nuit.png","marques","logo-senville-bleu-nuit.png","png","207763","unknown","not_recorded"
"images/marques/logo-sharp-bleu-nuit.png","marques","logo-sharp-bleu-nuit.png","png","66973","unknown","not_recorded"
"images/marques/logo-sinclair-air-conditioning-bleu-nuit.png","marques","logo-sinclair-air-conditioning-bleu-nuit.png","png","69799","unknown","not_recorded"
"images/marques/logo-stelpro-bleu-nuit.png","marques","logo-stelpro-bleu-nuit.png","png","33119","unknown","not_recorded"
"images/marques/logo-sure-bleu-nuit.png","marques","logo-sure-bleu-nuit.png","png","59471","unknown","not_recorded"
"images/marques/logo-tcl-bleu-nuit.png","marques","logo-tcl-bleu-nuit.png","png","29488","unknown","not_recorded"
"images/marques/logo-tempstar-bleu-nuit.png","marques","logo-tempstar-bleu-nuit.png","png","155177","unknown","not_recorded"
"images/marques/logo-thermal-zone-bleu-nuit.png","marques","logo-thermal-zone-bleu-nuit.png","png","105630","unknown","not_recorded"
"images/marques/logo-toshiba-carrier-bleu-nuit.png","marques","logo-toshiba-carrier-bleu-nuit.png","png","63187","unknown","not_recorded"
"images/marques/logo-tosot-bleu-nuit.png","marques","logo-tosot-bleu-nuit.png","png","17906","unknown","not_recorded"
"images/marques/logo-toyotomi-bleu-nuit.png","marques","logo-toyotomi-bleu-nuit.png","png","36043","unknown","not_recorded"
"images/marques/logo-trane-bleu-nuit.png","marques","logo-trane-bleu-nuit.png","png","37580","unknown","not_recorded"
"images/marques/logo-turbro-bleu-nuit.png","marques","logo-turbro-bleu-nuit.png","png","57761","unknown","not_recorded"
"images/marques/logo-viessmann-bleu-nuit.png","marques","logo-viessmann-bleu-nuit.png","png","22729","unknown","not_recorded"
"images/marques/logo-voltas-bleu-nuit.png","marques","logo-voltas-bleu-nuit.png","png","38632","unknown","not_recorded"
"images/marques/logo-weatherking-bleu-nuit.png","marques","logo-weatherking-bleu-nuit.png","png","533221","unknown","not_recorded"
"images/marques/logo-york-bleu-nuit.png","marques","logo-york-bleu-nuit.png","png","41793","unknown","not_recorded"
"images/marques/thermopompe-daikin-transparente.png","marques","thermopompe-daikin-transparente.png","png","1237510","unknown","not_recorded"
"images/marques/thermopompe-fujitsu-transparente.png","marques","thermopompe-fujitsu-transparente.png","png","1281693","unknown","not_recorded"
"images/marques/thermopompe-mitsubishi-electric-transparente.png","marques","thermopompe-mitsubishi-electric-transparente.png","png","1098464","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-37mahaq-exterieure-officielle.jpg","products","carrier-37mahaq-exterieure-officielle.jpg","jpg","42659","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-37maraq-exterieure-officielle.jpg","products","carrier-37maraq-exterieure-officielle.jpg","jpg","42659","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-37mgha-exterieure-officielle.jpg","products","carrier-37mgha-exterieure-officielle.jpg","jpg","484836","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-37mhraq-exterieure-officielle.jpg","products","carrier-37mhraq-exterieure-officielle.jpg","jpg","42659","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-37mpraq-37mahaq-exterieure-officielle.jpg","products","carrier-37mpraq-37mahaq-exterieure-officielle.jpg","jpg","42659","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-45mahaq-interieure-officielle.png","products","carrier-45mahaq-interieure-officielle.png","png","76928","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-45mhh-interieure-officielle.jpg","products","carrier-45mhh-interieure-officielle.jpg","jpg","894058","unknown","not_recorded"
"images/products/_official-sources/carrier/carrier-45mphaq-interieure-officielle.png","products","carrier-45mphaq-interieure-officielle.png","png","76928","unknown","not_recorded"
"images/products/_official-sources/daikin/daikin-atmosphera-officiel.png","products","daikin-atmosphera-officiel.png","png","273574","unknown","not_recorded"
"images/products/_official-sources/daikin/daikin-aurora-officiel.png","products","daikin-aurora-officiel.png","png","59618","unknown","not_recorded"
